,question,category,answer,choices/0,choices/1,choices/2,choices/3
173,"General Lees three corps commanders at Gettysburg were Longstreet,  A.P. Hill and who else?",history,Richard Ewell,Richard Ewell,Richard Garnett,Issac Trimble,Johnston Pettigrew
174,This Union general was killed by a sniper on the first day of the Battle of Gettysburg.,history,John Reynolds,Abner Doubleday,Joshua Chamberlain,John Reynolds,John Sedgwick
175,This cavalry officer commanded the Union cavalry at Gettysburg.,history,John Buford,George Custer,John Buford,Judson Kilpatrick,Wesley Merritt
177,"WW II started on September 1, 1939 when Germany invaded which country?",history,Poland,Poland,The Soviet Union,Austria,Czechoslovakia
178,"At the beginning of WW II, The British and the French were so surprised by the swiftness of the German attack on its neighbor that for some time no response ensued. This period lasted till May, 1940 and is known by what name?",history,Phony War,Phony War,Blitzkrieg,Anschluss,Boer War
180,"This operation, led by General Dwight Eisenhower, was launched on 8 November 1942 and it was aimed at gaining control over Morocco and Algeria.",history,Operation Torch,Operation Overlord,Operation Anthropoid,Operation Torch,Operation Countenance
181,"The Tripartite Pact was signed on September 27, 1940 by Germany, Italy and Japan. Later, three more countries joined - Hungary, Romania and Bulgaria. When did Bulgaria join the pact?",history,"March 1, 1941","November 20, 1940","March 3, 1941","November 23, 1940","March 1, 1941"
182,This May 1942 battle was the first one to be fought only by aircraft carriers.,history,Battle of the Coral Sea,Battle of the Coral Sea,Battle of Midway,Battle of the Aleutian Islands,Battle of the Leyte Gulf
183,"Even though mainland Britain was not actually invaded in World War II, it had prepared a resistance movement, known under what name?",history,Auxiliary Units,Home Guard,Dukes,Auxiliary Units,Partisans
184,"Who accepted the surrender of the German military forces in Northwest Germany, Holland and Denmark on May 4, 1945?",history,General Montgomery,General Zhukov,General Jacques Leclerc,General Montgomery,General George Marshall
186,Which plane was the first operational turbojet to take part in WW II?,history,Messerschmitt 262,Heinkel He 178,Gloster Meteor,Messerschmitt 262,Arado Ar 234
187,"During World War I Germany built and used one of the biggest guns in military history, Big Bertha. It fired 2,100 lb (820 kg) shells at a range of 15 km (9.3 miles) and was used in the assault of Verdun. Big Bertha was named after this member of the designers family.",history,His wife,His mother,His wife,His grandmother,His mother-in-law
188,"Even though Bertha was a formidable gun, this one was even bigger. Paris Gun was used to bombard Paris during World War I. What was its main purpose?",history,To attack the morale of enemy soldiers,To demolish large buildings,To kill as many civilians as possible,To bombard important bunkers,To attack the morale of enemy soldiers
190,"One of the most accomplished ballistics engineers, Gerald Bull, was head of project HARP. The Pentagon and the Canadian Department of National Defence joined efforts in this project, trying to study ballistics of re-entry vehicles at low cost. They used 16 inch (406 mm) 50 caliber gun, which was later extended to 100 calibers (40 m), to fire shells toward the Atlantic at 3600 m/s. Do you know what HARP stood for?",history,High Altitude Research Project,Hazard Assessment of Rocket Propellants,Helping to Attract and Recruit Project,Highly Autonomous Roving Projectile,High Altitude Research Project
191,"During World War I and II, this German family created some of the biggest guns in the world. In the years of WW I they sold cannons to the the Entente as well as the Central Powers. Their work became the center for German rearmament after 1933 (when Hitler came to power).",history,Krupp,Krupp,Nathan,Kramer,Gustav
193,"Six gigantic guns were created during World War II, with the help of general Karl Baker. They were called Karl Monsers and were used in the Brest-Litovsk and Warsaw uprisings. What was their other deployment during the War?",history,The siege of Sevastopol,The defence of Berlin,The siege of Stalingrad,The siege of Moscow,The siege of Sevastopol
194,"This is the biggest gun ever to be completed. It was 43 m (141 feet) long, weighed 1350 tons and fired 7 ton shells at range of 40 km (25 miles). It was capable of piercing a meter (3.3 feet) of steel or 7 meters (23 feet) of concrete. One of the two ever built guns of this type was called Schwerer Gustav. What was the name of the other one?",history,Dora,Sturmtiger,Leopold,Robert,Dora
196,"Gerald Bull took part in another supergun program - project Babylon. He supplied the plans for a series of gigantic guns, but fortunately only one of them (the smallest one) was completed. This person commissioned the project.",history,Saddam Hussein,William Clinton,Saddam Hussein,Slobodan Milosevic,Yasser Arafat
197,The 1990s introduced us all to grunge music. Which popular grunge band are known for their 1994 song Black Hole Sun?,history,Soundgarden,Alice in Chains,Nirvana,Soundgarden,Pearl Jam
198,"On what cartoon from the 90s did we meet the characters Tommy, Angelica, and Chuckie?",history,Rugrats,Animaniacs,Hey Arnold!,Rugrats,Rockos Modern Life
200,This independent horror film tells the story of 3 student filmmakers who get lost in the woods and are tormented by a legend witch.,history,The Blair Witch Project,The Amityville Curse,Bad Moon,Army of Darkness,The Blair Witch Project
201,"On August 12 of this year, the Major League Baseball players went on strike which resulted in the cancellation of the World Series.",history,1994,1991,1993,1994,1996
202,"In what year did the popular sitcom, Friends, first air?",history,1994,1994,1992,1993,1995
203,Which movie star was featured in the only movie about the Vietnam War that was made during the war?,history,John Wayne,John Wayne,Forest Whitaker,Tom Cruise,Tom Berenger
204,This Hollywood veteran played Sgt. Muldoon in a 1968 movie about the war in Vietnam.,history,Aldo Ray,Jim Hutton,Tim Hutton,Aldo Ray,R. Lee Ermey
205,"This 1978 movie was about a group of American soldiers who went to fight in Vietnam. They could get out of combat if they threw a soccer match, but they refused to do so.",history,The Boys in Company C,Full Metal Jacket,Pork Chop Hill,Hamburger Hill,The Boys in Company C
207,"Which Vietnam movie featured Tom Cruise, Tom Berenger and Willem Dafoe?",history,Born on the Fourth of July,Full Metal Jacket,Born on the Fourth of July,Platoon,Hamburger Hill
208,Who directed the 1986 movie Platoon?,history,Oliver Stone,Oliver Stone,Willem Dafoe,Brian DePalma,Tom Berenger
210,Who directed the 1989 movie Casualties of War?,history,Brian DePalma,Brian DePalma,Oliver Stone,Stanley Kubrick,Ray Kellogg
211,Who directed the 1987 film Full Metal Jacket?,history,Stanley Kubrick,Oliver Stone,Roy Kovic,Stanley Kubrick,Brian DePalma
212,"For his role as Pvt. Pyle in Full Metal Jacket, Vincent DOnofrio, had to gain 70 pounds. This broke the previous record for weight gained by a featured actor for a role. Who had held this record?",history,Robert De Niro,Marlon Brando,John Wayne,Robert De Niro,Al Pacino
213,This 1989 movie was about an injured Vietnam War veteran who became an anti-war protester.,history,Born on the Fourth of July,Full Metal Jacket,Hamburger Hill,Born on the Fourth of July,Casualties of War
214,Which of these movies did not feature R. Lee Ermey?,history,Platoon,Full Metal jacket,Apocalypse Now,The Boys in Company C,Platoon
215,Who directed the 1979 movie Apocalypse Now?,history,Francis Ford Coppola,Francis Ford Coppola,Oliver Stone,Brian DePalma,Stanley Kubrick
216,"The Orient Express, a long-distance passenger train that has become a synonym with luxury travel, made its first run on October 4, 1883. This was the final destination of its first route.",history,Istanbul,Viena,Ankara,Ruse,Istanbul
217,"On October 7, 1982,  this show made its debut in Broadway at the Winter Garden Theatre. It eventually closed after nearly 18 years on September 10, 2000.",history,Cats,Aida,The Phantom of the Opera,Cats,Sunset Boulevard
218,"The Great Chicago Fire, one of the worst disasters of the nineteenth century, started on October 8, 1871. The fire destroyed approximately 17,450 buildings, killed 250 people and left another 90,000 homeless, before it was extinguished on this date.",history,October 10,October 24,October 10,October 14,October 18
220,"On October 16, 1978, the Papal Conclave elected Karol JÃ³zef WojtyÅa, who became known as Pope John Paul II. How old was he when this happened?",history,58,48,68,38,58
221,"On October 18, 1968,  a police raid on John Lennon and Yoko Onos apartment revealed 168 grams of marijuana. This is what happened to Lennon and Ono as a result.",history,They plead guilty and were fined Â£150,The evidence mysteriously disappeared and the case was dismissed,They were found guilty and were sent to prison,"They were found not guilty and released, due to Lennons great contribution to British music",They plead guilty and were fined Â£150
222,What year did the Holocaust begin?,history,1933,1929,1945,1946,1933
228,Who is widely recognized as the leader of the Warsaw Ghetto Uprising during WW II?,history,Mordechai Anielewicz,Mordechai Anielewicz,Chaim Rumkowski,Henry Morgentaler,Hilary Minc
231,Which of the following was the first Roman emperor to convert to Christianity in 313 AD?,history,Constantine,Constantine,Marcus Aurelius,Nerva,Commodus
232,Which writer witnessed the eruption of Mt. Vesuvius in 79 AD?,history,Pliny the Younger,Pliny the Younger,Pompey the Great,Plautus,Plutarch
233,Which Roman Emperor wrote The Meditations that was actually a sort of personal diary?,history,Marcus Aurelius,Constantine,Hadrian,Marcus Aurelius,Julius Caesar
